개념,2023,2025
press_fair,q1_1,q1_1
press_expert,q1_2,q1_2
press_accurate,q1_3,q1_3
press_trust,q1_4,q1_4
press_influence,q1_5,q1_5
press_free,q1_6,q1_6
digital_response,q4,q4
digital_fatigue,q6,q5
satis_job,q24_1,q19_1
satis_company,q24_2,q19_2
satis_task,q24_3,q19_3
burnout_exhaust,q26_3,q21_3
burnout_cynic,q26_4,q21_4
ai_speed,q45_1,q39_1
ai_accuracy,q45_2,q39_2
ai_efficiency,q45_3,q39_3
ai_copyright,q45_4,q39_4
ai_jobthreat,q45_5,q39_6
ai_misinfo,,q39_5
gender,DQ1,DQ1
age,DQ2,DQ2
media_type,SQ1,SQ1
